,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
92,0.3315885625,0.5858454375,0.92,0.1,50,0.3,3.9999999999999982,-2.518672219927665,0.17529864266348918,0.998937597367762,-3.506557897319982,-2.612794392253498,0.25057130274375927,0.9964183433181364
93,0.356762625,0.5866814375,0.92,0.1,100,0.16,7.9999999999999964,-4.617237222972857,0.7019282747633735,0.9984208452575966,-4.135166556742356,-4.543350731447803,0.6601647004559957,0.9938175898819737
94,0.41220521875,0.5215296875,0.92,0.1,100,0.2,7.9999999999999964,-4.106187880339978,0.6637862975756079,0.9988482829729359,-3.912023005428146,-4.003757900152404,0.6063823975140544,0.9966536435760404
95,0.5081808125,0.40214621875,0.92,0.1,100,0.3,7.9999999999999964,-3.3621830101957535,0.5737875603485832,0.9985874912412815,-3.506557897319982,-3.248329706519477,0.49823278530892506,0.9989660454720443
96,0.4056368125,0.5365773125,0.92,0.1,120,0.16,9.599999999999994,-5.037784222758505,0.834734140968937,0.9985948992077484,-4.135166556742356,-4.882208958400714,0.7481056004424534,0.994468102194948
97,0.46165228125,0.47095521875,0.92,0.1,120,0.2,9.599999999999994,-4.430866545613062,0.7612514899747139,0.9983172765963519,-3.912023005428146,-4.351712614148724,0.71060566116858,0.9955659842288542
98,0.5530895625,0.3561630625,0.92,0.1,120,0.3,9.599999999999994,-3.597619105279111,0.643487928054508,0.9982930478455712,-3.506557897319982,-3.4044758490654217,0.519070212547775,0.9976912598289741
99,0.51286340625,0.42718475,0.92,0.1,180,0.16,14.399999999999993,-5.764798034493943,0.9734353059261772,0.99735601903546,-4.135166556742356,-5.784924334179142,0.9666744112758869,0.9895661996018561
100,0.56416925,0.366397875,0.92,0.1,180,0.2,14.399999999999993,-5.125618921760469,0.9042384893548265,0.9982761542306121,-3.912023005428146,-4.969282341005278,0.8248493246391742,0.9915085533864443
101,0.6447131875,0.26282753125,0.92,0.1,180,0.3,14.399999999999993,-4.08560964441569,0.7347414743950855,0.9983446375895293,-3.506557897319982,-3.8143228749213143,0.5528365673431254,0.996605628485583
102,0.538245,0.401354,0.92,0.1,200,0.16,15.999999999999993,-6.095395262159866,1.0448645638352292,0.9958858662770849,-4.135166556742356,-5.758427016369146,0.8861623215133587,0.9828645876250527
103,0.589893125,0.34014015625,0.92,0.1,200,0.2,15.999999999999993,-5.297885872849593,0.9324166240127179,0.9976706942774132,-3.912023005428146,-5.142516674713558,0.8510310357333127,0.9958815751685854
104,0.664468,0.2427976875,0.92,0.1,200,0.3,15.999999999999993,-4.202285980993618,0.7443853180506572,0.9979890599835468,-3.506557897319982,-3.839739683688358,0.5129140579948942,0.9967185378042648
105,0.173205203125,0.67893275,0.92,0.5,50,0.16,3.9999999999999982,-3.650145244140491,0.16853218786018181,0.9987698814306842,-2.5257286443082556,-3.47524614817832,0.05826549611090369,0.9957832868282638
